Date,Weekday,HIGH_T,LOW_T,PRECIP,BB_COUNT,TOTAL,MONTH,DAY_OF_WEEK,DAY
2017-04-01,Saturday,46.0,37.0,0.0,606,5397,4,5,1
2017-04-02,Sunday,62.1,41.0,0.0,2021,13033,4,6,2
2017-04-03,Monday,63.0,50.0,0.03,2470,16325,4,0,3
2017-04-04,Tuesday,51.1,46.0,1.18,723,6581,4,1,4
2017-04-05,Wednesday,63.0,46.0,0.0,2807,17991,4,2,5
2017-04-06,Thursday,48.9,41.0,0.73,461,4896,4,3,6
2017-04-07,Friday,48.0,43.0,,1222,10341,4,4,7
2017-04-08,Saturday,55.9,39.9,0.0,1674,11610,4,5,8
2017-04-09,Sunday,66.0,45.0,0.0,2375,14899,4,6,9
2017-04-10,Monday,73.9,55.0,0.0,3324,21295,4,0,10
2017-04-11,Tuesday,80.1,62.1,0.0,3887,24714,4,1,11
2017-04-12,Wednesday,73.9,57.9,0.02,2565,19355,4,2,12
2017-04-13,Thursday,64.0,48.9,0.0,3353,20880,4,3,13
2017-04-14,Friday,64.9,48.9,0.0,2942,18015,4,4,14
2017-04-15,Saturday,64.9,52.0,0.0,2253,14362,4,5,15
2017-04-16,Sunday,84.9,62.1,,2877,16408,4,6,16
2017-04-17,Monday,73.9,64.0,,3152,21086,4,0,17
2017-04-18,Tuesday,66.0,50.0,0.0,3415,22459,4,1,18
2017-04-19,Wednesday,52.0,45.0,,1965,15827,4,2,19
2017-04-20,Thursday,64.9,50.0,0.17,1567,12290,4,3,20
2017-04-21,Friday,53.1,48.0,0.29,1426,10914,4,4,21
2017-04-22,Saturday,55.9,52.0,0.11,1318,8944,4,5,22
2017-04-23,Sunday,64.9,46.9,0.0,2520,15740,4,6,23
2017-04-24,Monday,60.1,50.0,,2544,17855,4,0,24
2017-04-25,Tuesday,54.0,50.0,0.91,611,5493,4,1,25
2017-04-26,Wednesday,59.0,54.0,0.34,1247,9819,4,2,26
2017-04-27,Thursday,68.0,59.0,0.0,2959,18581,4,3,27
2017-04-28,Friday,82.9,57.9,0.0,3679,22787,4,4,28
2017-04-29,Saturday,84.0,64.0,0.06,3315,19043,4,5,29
2017-04-30,Sunday,64.0,54.0,0.0,2225,13932,4,6,30
2017-05-01,Monday,72.0,50.0,0.0,3084,21203,5,0,1
2017-05-02,Tuesday,73.9,66.9,0.0,3423,23696,5,1,2
2017-05-03,Wednesday,64.9,57.9,0.0,3342,22575,5,2,3
2017-05-04,Thursday,63.0,50.0,0.0,3019,21610,5,3,4
2017-05-05,Friday,59.0,52.0,3.02,513,5356,5,4,5
2017-05-06,Saturday,64.9,57.0,0.18,1892,15174,5,5,6
2017-05-07,Sunday,54.0,48.9,0.01,3539,15878,5,6,7
2017-05-08,Monday,57.0,45.0,0.0,2886,19379,5,0,8
2017-05-09,Tuesday,61.0,48.0,0.0,2718,21083,5,1,9
2017-05-10,Wednesday,70.0,51.1,0.0,2810,21261,5,2,10
2017-05-11,Thursday,61.0,51.8,0.0,2657,20725,5,3,11
2017-05-12,Friday,62.1,51.1,0.0,2640,19024,5,4,12
2017-05-13,Saturday,51.1,45.0,1.31,151,2374,5,5,13
2017-05-14,Sunday,64.9,46.0,0.02,1452,9865,5,6,14
2017-05-15,Monday,66.9,55.9,0.0,2685,19081,5,0,15
2017-05-16,Tuesday,78.1,57.9,0.0,3666,26142,5,1,16
2017-05-17,Wednesday,90.0,66.0,0.0,3535,26084,5,2,17
2017-05-18,Thursday,91.9,75.0,0.0,3190,23474,5,3,18
2017-05-19,Friday,90.0,75.9,0.0,2952,21515,5,4,19
2017-05-20,Saturday,64.0,55.9,0.01,2161,15165,5,5,20
2017-05-21,Sunday,66.9,55.0,0.0,2612,16684,5,6,21
2017-05-22,Monday,61.0,54.0,0.59,768,6126,5,0,22
2017-05-23,Tuesday,68.0,57.9,0.0,3174,21799,5,1,23
2017-05-24,Wednesday,66.9,57.0,0.04,2969,20190,5,2,24
2017-05-25,Thursday,57.9,55.9,0.58,488,4789,5,3,25
2017-05-26,Friday,73.0,55.9,0.1,2590,16139,5,4,26
2017-05-27,Saturday,71.1,61.0,0.0,2609,16430,5,5,27
2017-05-28,Sunday,71.1,59.0,0.0,2640,15693,5,6,28
2017-05-29,Monday,57.9,55.9,0.13,836,7008,5,0,29
2017-05-30,Tuesday,59.0,55.9,0.06,2301,18036,5,1,30
2017-05-31,Wednesday,75.0,57.9,0.03,2689,19504,5,2,31
2017-06-01,Thursday,78.1,62.1,0.0,3468,25441,6,3,1
2017-06-02,Friday,73.9,60.1,0.01,3271,23539,6,4,2
